00-牙 签- 600- 体力+6 智力+3 林战+3
01-碎石片- 600- 武力+6 陆战+3 水战+3
02-鸡 毛- 600- 智力+6 水战+3 林战+3
03-鱼 钩- 600- 陆战+6 智力+3 林战+3
04-.橡皮筋- 600- 水战+6 体力+3 武力+3
05-梳 子- 600- 林战+6 武力+3 智力+3
06-筷 子- 1440- 陆战+12 体力+6 智力+6
07-镰 刀- 1440- 武力+12 陆战+6 林战+6
08-芋 叶- 1440- 智力+12 体力+6 水战+6
09-不求人- 1440- 陆战+12 武力+6 陆战+6
10-弹 弓- 1440- 水战+12 体力+6 智力+6
11-.布 币- 1440- 林战+12 武力+6 陆战+6
12-.竹 竿- 2520 体力+18 水战+9 林战+9
13-.菜 刀- 2520- 武力+18 体力+9 陆战+9
14-.锅 铲- 2520- 智力+18 武力+9 水战+9
15-桃木剑- 2520- 陆战+18 智力+9 武力+9
16-.回力镖- 2520- 水战+18 体力+9 陆战+9
17-.小斧头- 2520- 林战+18 武力+9 水战+9
18-.齐眉棍- 3840- 体力+24 智力+12 林战+12
19-.古锭刀- 3840- 武力+24 陆战+12 水战+12
20-湘竹扇- 3840- 智力+24 水战+12 林战+12
21-七星剑- 3840- 陆战+24 智力+12 林战+12
22-落月弓- 3840- 水战+24 体力+12 武力+12
23-大 斧- 3840- 林战+24 武力+12 智力+12
24-狼牙棒- 5400- 体力+30 陆战+15 林战+15
25-.大关刀- 5400- 武力+30 陆战+15 林战+15
26-.五色扇- 5400- 智力+30 体力+15 水战+15
27-.青虹剑- 5400- 陆战+30 体力+15 智力+15
28-.麒麟弓- 5400- 水战+30 体力+15 智力+15
29-.霹雳斧- 5400- 林战+30 武力+15 陆战+15
30-打狗棒- 7200- 体力+36 水战+18 林战+18
31-.屠龙刀- 7200- 武力+36 体力+18 陆战+18
32-.水镜扇- 7200- 智力+36 武力+18 水战+18
33-.倚天剑- 7200- 陆战+36 武力+18 智力+18
34-.养由弓- 7200- 水战+36 体力+18 陆战+18
35-.伏龙斧- 7200- 林战+36 武力+18 水战+18
36-金箍棒- 11200- 体力+40 武力+40
37-楼兰刀- 11200- 武力+60 体力+20
38- 芭蕉扇- 11200- 智力+40 体力+40
39-干将剑- 11200- 陆战+60 武力+20
40- 后羿弓- 11200- 水战+60 武力+20
41-夸父斧- 11200- 林战+60 武力+20
