姓名,初始阵营,曹操好感,刘备好感,孙权好感,董卓好感,张角好感,龙翠好感,孟获好感,体力,成长,武力,成长,智力,成长,陆战,成长,陆吼,水战,成长,水吼,林战,成长,林吼,技能,所需等级
汉献帝,,1,1,1,1,1,1,1,83,12,46,1,86,1,96,7,,80,7,,64,7,,皇恩,5
曹洪,曹操,1,7,7,7,7,7,7,86,12,98,3,56,4,97,5,,53,3,,94,4,,偷窃,5
曹丕,,1,7,7,7,7,7,7,91,12,73,2,100,3,96,4,,89,4,,55,2,,躲箭,7
程远志,张角,4,4,4,4,1,4,4,92,11,90,4,35,3,91,3,,61,5,,76,5,,筑墙,6
关羽,刘备,7,1,7,7,7,7,7,95,11,116,3,90,3,118,4,,97,2,,79,5,,水吼,6
孟优,孟获,7,7,7,7,7,7,1,81,11,95,10,30,2,78,2,,68,1,,97,5,,先手,7
孙翊,,,,,,,,,85,11,89,5,46,2,83,4,,92,3,,56,4,,潜入,7
胡轸,,,,,,,,,89,11,88,3,62,2,52,3,,24,2,,54,3,,筑墙,5
朱然,,,,,,,,,95,10,86,4,71,2,64,2,,82,3,,59,5,,还价,4
小乔,,4,4,1,4,4,4,4,105,10,31,5,97,3,90,1,,103,3,,65,5,,还价,6
区星,,7,7,7,7,7,7,7,97,10,91,1,47,3,50,5,,91,5,,86,4,,斗狠,5
周瑜,孙权,7,7,1,7,7,7,7,91,10,95,3,112,3,95,4,,120,3,,85,4,,税更,6
郭嘉,曹操,1,7,7,7,7,7,7,99,10,29,4,115,4,86,4,,67,2,,62,4,,还价,7
貂婵,,7,7,7,1,7,7,7,103,10,98,5,107,3,41,3,,31,1,,30,4,,开路,4
曹仁,曹操,1,7,7,7,7,7,7,84,10,101,4,67,4,104,3,,97,1,,60,4,,福将,5
关兴,,,,,,,,,94,10,100,4,67,2,71,2,,83,1,,102,4,,诈财,5
张梁,张角,,,,,1,,,90,10,96,2,80,4,91,3,,83,5,,54,3,,聪颖,5
刘晔,,,,,,,,,82,10,30,4,104,3,50,3,,40,4,,36,3,,偷窃,6
张嶷,,,,,,,,,90,10,86,4,79,4,58,3,,67,3,,103,3,,先手,4
廖化,,5,1,5,5,5,5,5,108,10,89,2,78,2,59,5,,53,2,,74,3,,命硬,4
董卓,董卓,10,10,10,1,10,10,10,82,10,100,4,46,2,107,4,,67,2,,94,3,,绊索,6
庞德,,1,5,3,3,3,3,3,94,10,110,4,66,1,91,2,,76,2,,61,3,,水吼,5
甄宓,,,,,,,,,109,10,48,3,108,5,109,2,,90,2,,74,3,,潜入,5
祖茂,,,,,,,,,104,10,83,2,65,2,52,1,,43,2,,35,3,,修墙,4
甘宁,孙权,7,7,1,7,7,7,7,89,10,110,4,71,1,92,4,,108,2,,58,2,,旋涡,7
顾雍,,,,,,,,,106,10,62,2,103,3,47,1,,79,2,,72,2,,绊索,7
孙尚香,,5,1,5,7,7,7,7,108,10,115,4,54,2,90,4,,98,3,,58,1,,破坏,4
张郃,,,,,,,,,91,9,108,3,74,3,98,4,,65,3,,83,5,,泥坑,5
蒋钦,,,,,,,,,113,9,102,2,50,3,76,5,,56,1,,58,5,,交涉,4
祝融夫人,,7,7,7,7,7,7,1,96,9,114,2,42,3,78,2,,65,1,,95,5,,命硬,6
贾诩,董卓,7,7,7,1,7,7,7,115,9,67,2,110,3,96,1,,71,1,,73,5,,绊索,4
牛辅,董卓,7,7,7,1,7,7,7,116,9,74,4,35,5,80,2,,64,5,,58,4,,开路,5
曹彰,曹操,1,7,7,7,7,7,7,108,9,106,2,47,3,80,1,,50,5,,71,4,,礼官,2
乐进,,,,,,,,,82,9,100,4,65,1,76,2,,62,4,,52,4,,林吼,7
严颜,,,,,,,,,81,9,98,2,82,2,73,1,,36,1,,92,4,,林吼,6
五溪洞主,,3,3,3,3,3,3,1,86,9,28,3,106,3,50,4,,61,4,,74,3,,人缘,3
董荼那,,,,,,,,,92,9,85,4,48,1,61,1,,58,4,,79,3,,泥坑,5
马良,,,,,,,,,114,9,48,2,102,3,73,4,,74,3,,38,3,,筑墙,4
诸葛谨,,3,3,3,3,3,3,3,106,9,65,3,103,2,83,3,,68,3,,56,3,,开路,2
刘备,刘备,7,1,7,7,7,7,7,87,9,96,2,90,4,102,4,,66,2,,88,3,,制人,7
麋竺,刘备,7,1,7,7,7,7,7,85,9,58,3,88,4,58,2,,70,4,,47,2,,礼官,4
凌统,,,,,,,,,100,9,100,4,62,2,29,2,,88,3,,43,2,,筑墙,7
水镜先生,,,,,,,,,90,9,53,4,118,8,62,4,,91,6,,74,1,,教导,6
潘璋,,,,,,,,,125,8,92,2,55,2,58,1,,79,5,,61,5,,躲箭,4
张纯,,,,,,,,,104,8,88,3,61,3,72,4,,84,3,,54,4,,礼官,2
朱治,,,,,,,,,104,8,84,1,89,5,89,2,,84,3,,49,4,,陆吼,4
张燕,,,,,,,,,93,8,97,5,54,4,82,4,,68,3,,100,3,,水吼,5
李儒,董卓,5,5,5,1,5,5,5,81,8,53,2,103,4,80,2,,50,3,,71,3,,交涉,5
杨锋,,,,,,,,,112,8,67,4,49,2,82,1,,62,3,,60,3,,破坏,5
张济,,,,,,,,,103,8,83,4,76,2,90,4,,70,5,,66,2,,先手,5
王允,,,,,,,,,112,8,18,4,102,5,52,5,,53,3,,25,2,,体健,7
傅士仁,,2,2,2,2,2,2,2,120,8,70,2,42,2,78,5,,47,3,,71,2,,潜入,6
张纮,,,,,,,,,103,8,24,1,110,5,54,2,,43,2,,38,2,,交涉,4
高定,,,,,,,,,94,8,74,5,49,3,73,2,,70,4,,95,1,,税更,5
王方,,2,2,2,2,2,2,2,88,7,70,3,79,1,65,3,,34,4,,64,5,,气壮,5
王平,,,,,,,,,106,7,90,3,82,3,79,1,,52,3,,107,5,,气壮,5
许诸,,1,5,5,5,5,5,5,105,7,115,2,43,1,79,3,,23,2,,66,5,,交涉,4
赵岑,,,,,,,,,115,7,79,1,72,2,61,1,,56,3,,36,4,,陆吼,5
孟获,孟获,7,7,7,7,7,7,1,95,7,103,2,44,3,95,5,,55,1,,100,4,,体健,4
金环三结,,3,3,3,3,3,3,1,114,7,84,1,43,4,82,2,,55,3,,91,3,,开路,5
曹操,曹操,1,7,7,7,7,7,7,103,7,82,2,112,5,112,4,,74,1,,94,3,,聪颖,4
李典,,,,,,,,,97,7,91,3,90,3,85,1,,76,1,,53,3,,修墙,5
曹植,,1,5,5,5,5,5,5,125,7,31,1,102,3,89,4,,68,10,,65,2,,税更,6
奚泥,,,,,,,,,128,7,61,2,19,4,54,2,,65,5,,79,2,,水吼,4
高升,张角,3,3,3,3,1,3,3,106,7,88,2,40,4,74,3,,43,4,,68,2,,人缘,5
华雄,董卓,7,7,7,1,7,7,7,85,7,112,5,52,2,101,2,,55,4,,96,2,,福将,4
董旻,,,,,,,,,117,7,73,3,79,10,55,1,,38,4,,44,2,,聪颖,7
水仙,龙翠,3,3,3,3,3,1,3,98,7,83,4,91,3,80,3,,94,3,,60,2,,人缘,6
黄忠,,,,,,,,,121,7,113,4,65,2,70,4,,48,2,,98,2,,绊索,5
法正,,,,,,,,,109,7,67,1,118,5,53,3,,37,3,,120,1,,还价,5
樊稠,,,,,,,,,104,7,90,2,41,1,96,1,,61,3,,83,1,,破坏,7
张辽,,,,,,,,,100,6,109,4,95,2,120,3,,96,3,,60,5,,气壮,4
龚都,,,,,,,,,103,6,73,3,25,3,64,2,,29,1,,67,5,,命硬,5
邓艾,,,,,,,,,84,6,106,2,104,4,107,3,,77,5,,84,4,,筑墙,4
阿会喃,,,,,,,,,84,6,83,3,41,3,64,4,,41,3,,70,4,,躲箭,7
海棠,龙翠,3,3,3,3,3,1,3,84,6,88,1,89,3,64,3,,85,3,,65,4,,泥坑,4
魏延,,,,,,,,,105,6,108,2,60,4,97,4,,74,2,,114,4,,陆吼,7
龙翠公主,龙翠,7,7,7,7,7,1,7,92,6,110,2,109,3,103,4,,84,3,,71,3,,体健,5
大乔,,,,,,,,,83,6,28,3,101,2,72,2,,100,3,,78,3,,开路,3
带来洞主,孟获,3,3,3,3,3,3,1,114,6,74,4,83,4,56,4,,88,2,,96,3,,绊索,5
张举,,,,,,,,,118,6,90,1,62,5,77,1,,96,1,,67,3,,交涉,6
庞统,,,,,,,,,109,6,58,2,115,3,79,4,,98,3,,68,2,,聪颖,6
夏侯敦,,,,,,,,,110,6,112,3,79,1,102,2,,72,2,,82,2,,气壮,7
李肃,董卓,3,3,3,1,3,3,3,109,6,79,1,80,4,86,2,,73,4,,56,1,,福将,3
鄂焕,,,,,,,,,133,6,89,3,40,4,65,2,,47,3,,74,1,,林吼,6
孙仲,张角,3,3,3,3,1,3,3,99,6,31,1,90,4,78,2,,54,3,,64,1,,税更,5
太史慈,孙权,7,7,1,7,7,7,7,110,6,109,4,66,1,101,5,,65,1,,86,1,,偷窃,5
孙登,,,,,,,,,122,5,42,1,95,4,74,4,,92,1,,72,10,,人缘,3
于禁,,,,,,,,,102,5,84,3,95,5,97,2,,92,5,,54,5,,人缘,5
诸葛亮,,7,1,7,7,7,7,7,95,5,60,1,120,4,68,5,,101,3,,113,5,,交涉,6
王双,,,,,,,,,105,5,104,4,29,1,60,4,,44,3,,46,5,,制人,4
韩当,,,,,,,,,114,5,101,5,66,1,70,3,,64,3,,26,5,,诈财,4
管宁,,,,,,,,,115,5,24,3,115,9,73,3,,67,3,,94,5,,人望,5
司马懿,,1,7,7,7,7,7,7,85,5,82,1,113,3,112,3,,67,3,,101,5,,诈财,6
郭汜,,,,,,,,,98,5,82,3,41,2,86,1,,76,3,,54,5,,水吼,4
赵云,,7,1,7,7,7,7,7,94,5,115,4,96,5,115,1,,65,5,,108,4,,税更,4
麋芳,,,,,,,,,91,5,74,2,38,3,66,5,,82,4,,56,4,,交涉,3
郭嬛,,,,,,,,,88,5,72,1,100,4,25,5,,30,4,,8,4,,气壮,6
张昭,孙权,7,7,1,7,7,7,7,115,5,16,1,109,3,67,5,,54,4,,47,4,,礼官,5
南华老仙,,,,,,,,,125,5,84,5,108,4,18,3,,18,2,,24,4,,夺刃,5
张角,张角,7,7,7,7,1,7,7,91,5,61,2,102,5,102,3,,70,1,,84,4,,命硬,5
华佗,,,,,,,,,143,5,19,4,101,8,28,4,,10,4,,32,3,,神医,6
谭雄,,,,,,,,,119,5,88,4,31,4,78,3,,65,4,,53,3,,林吼,5
黄盖,,,,,,,,,99,5,96,3,70,4,84,3,,115,4,,29,3,,福将,2
樊如玉,,,,,,,,,83,5,96,3,72,2,115,3,,96,4,,77,3,,制人,8
李蒙,,,,,,,,,96,5,77,5,55,2,66,5,,30,3,,70,3,,偷窃,7
何仪,,,,,,,,,131,5,23,3,88,3,80,3,,66,3,,55,3,,泥坑,7
满宠,,,,,,,,,125,5,77,4,100,2,60,2,,32,1,,58,3,,还价,6
郝昭,,,,,,,,,83,5,98,2,91,2,97,3,,58,5,,89,2,,勤学,6
孙权,孙权,7,7,1,7,7,7,7,107,5,80,2,102,5,94,3,,108,3,,68,2,,破坏,4
黄月英,龙翠,5,5,5,5,5,1,5,105,5,28,2,118,5,47,1,,50,3,,65,2,,细作,6
张宝,张角,3,3,3,3,1,3,3,106,5,94,2,77,10,86,4,,61,2,,68,2,,体健,5
吕范,,,,,,,,,134,5,74,3,86,4,48,2,,44,2,,61,2,,福将,4
马谡,,,,,,,,,114,5,76,2,101,4,77,5,,64,1,,52,2,,体健,6
蔡文姬,龙翠,5,5,5,5,5,1,5,135,5,65,2,103,4,50,2,,37,1,,38,2,,躲箭,4
张闻,,,,,,,,,125,5,64,1,20,3,65,2,,65,4,,32,1,,开路,2
凌操,,,,,,,,,111,5,94,3,56,5,65,4,,96,1,,55,1,,礼官,5
李傕,,,,,,,,,118,4,83,2,44,3,85,2,,55,4,,73,5,,旋涡,4
马岱,,,,,,,,,91,4,98,5,59,1,101,5,,64,2,,88,5,,体健,4
简雍,刘备,7,1,7,7,7,7,7,122,4,37,2,78,3,54,3,,36,2,,46,5,,偷窃,4
王元,,,,,,,,,102,4,100,4,95,1,74,2,,103,5,,80,4,,还价,4
程昱,曹操,1,7,7,7,7,7,7,91,4,24,1,109,4,91,5,,56,4,,80,4,,潜入,7
何曼,,,,,,,,,99,4,100,1,23,4,46,1,,24,4,,44,4,,陆吼,4
吕布,董卓,10,10,10,2,10,10,10,112,4,120,4,30,3,115,5,,74,3,,98,4,,修墙,7
徐荣,,,,,,,,,90,4,82,2,58,3,76,4,,50,3,,64,4,,泥坑,6
孟节,孟获,4,4,4,4,4,4,1,84,4,31,1,115,5,62,3,,64,2,,84,4,,旋涡,6
倩儿,,3,3,3,3,3,1,3,104,4,79,10,114,4,67,1,,76,1,,95,4,,税更,3
张飞,刘备,7,1,7,7,7,7,7,107,4,118,5,35,3,109,4,,80,5,,84,3,,屯田,5
朵思大王,孟获,3,3,3,3,3,3,1,86,4,70,2,84,3,83,5,,54,4,,91,3,,礼官,3
夏侯渊,,3,6,6,6,6,6,6,102,4,110,2,65,4,103,1,,71,4,,84,3,,开路,4
陆逊,,,,,,,,,89,4,80,2,112,5,74,5,,101,3,,116,3,,人缘,4
牡丹,龙翠,3,3,3,3,3,1,3,100,4,91,4,92,3,53,4,,72,3,,83,3,,屯田,4
韩忠,,,,,,,,,126,4,79,3,28,4,67,3,,42,3,,59,3,,林吼,4
管亥,,,,,,,,,122,4,91,5,40,2,89,3,,83,2,,50,3,,潜入,7
马超,,,,,,,,,92,4,116,4,54,2,108,5,,68,1,,94,3,,礼官,5
朱褒,孟获,2,2,2,2,2,2,1,135,4,84,3,25,5,55,3,,62,5,,78,2,,交涉,3
土安,,,,,,,,,130,4,79,2,28,3,30,3,,56,5,,58,2,,开路,2
胡姬,,,,,,,,,105,4,113,5,77,2,102,5,,70,4,,84,2,,陆吼,6
李异,,,,,,,,,100,4,86,4,35,2,64,2,,84,4,,62,2,,水吼,7
雍闓,孟获,,,,,,,1,109,4,71,3,77,5,70,2,,60,3,,86,2,,潜入,4
锺会,,,,,,,,,103,4,77,3,102,4,109,2,,79,2,,85,2,,筑墙,5
关平,刘备,7,1,7,7,7,7,7,84,4,98,5,73,3,108,4,,83,4,,79,1,,旋涡,4
周仓,,,,,,,,,103,4,97,3,50,2,61,4,,42,4,,50,1,,气壮,4
吕虔,,,,,,,,,99,4,82,3,77,1,67,3,,60,4,,41,1,,陆吼,5
流鸟夫人,,8,8,8,8,8,8,3,115,3,107,2,40,4,84,2,,71,5,,115,5,,林吼,4
刘禅,,3,1,3,3,3,3,3,102,3,13,1,35,10,31,3,,29,1,,40,5,,人缘,6
刘辟,,,,,,,,,96,3,82,4,31,3,61,3,,78,5,,56,4,,开路,3
邓茂,张角,3,3,3,3,1,3,3,131,3,88,3,29,3,83,3,,62,4,,62,4,,勤学,4
红梅,龙翠,3,3,3,3,3,1,3,87,3,90,3,82,1,79,4,,61,3,,94,3,,礼官,4
周泰,,,,,,,,,125,3,108,4,78,2,43,3,,104,3,,20,3,,破坏,6
蔡邕,,,,,,,,,89,3,19,4,101,5,26,2,,18,3,,22,3,,福将,5
华萱,,,,,,,,,150,3,22,4,98,4,46,1,,30,3,,38,3,,勤学,5
陈武,,,,,,,,,121,3,79,2,37,3,53,2,,72,2,,83,3,,泥坑,4
孟达,,,,,,,,,122,3,86,5,92,2,58,4,,67,5,,83,2,,人缘,4
吴兰,,,,,,,,,131,3,91,2,50,2,65,1,,53,4,,78,2,,诈财,4
董璜,,,,,,,,,114,3,74,2,82,4,62,4,,68,3,,25,2,,礼官,3
典韦,,,,,,,,,88,3,112,3,40,3,84,3,,35,3,,61,2,,福将,3
黄劭,,,,,,,,,141,3,12,1,37,2,41,2,,34,3,,28,2,,福将,2
丁奉,,,,,,,,,97,3,97,2,76,3,55,1,,102,3,,68,2,,屯田,5
忙牙长,,,,,,,,,124,3,90,2,19,2,46,2,,36,2,,54,2,,税更,5
赵弘,,,,,,,,,115,3,85,3,37,1,65,5,,40,1,,58,2,,税更,4
荀攸,,,,,,,,,143,3,30,4,109,5,48,4,,20,3,,46,1,,礼官,5
兀突骨,7,7,7,7,7,7,7,3,87,2,95,3,18,4,52,5,,41,3,,61,5,,诈财,4
荀彧,曹操,1,7,7,7,7,7,7,148,2,16,2,114,2,41,3,,40,3,,22,5,,破坏,6
司马凝香,6,6,6,6,6,6,3,6,104,2,38,2,116,5,55,1,,85,2,,94,5,,福将,2
高览,,,,,,,,,84,2,89,3,48,2,89,5,,86,4,,47,4,,旋涡,6
木鹿大王,,,,,,,,,104,2,86,3,30,5,72,4,,68,4,,40,4,,福将,3
张苞,,,,,,,,,108,2,101,1,54,2,95,4,,53,4,,98,4,,躲箭,6
孙乾,刘备,7,1,7,7,7,7,7,144,2,46,2,90,4,43,4,,24,3,,41,3,,开路,3
陈普,,,,,,,,,85,2,103,3,91,1,77,2,,103,3,,64,2,,偷窃,4
鲁肃,孙权,7,7,1,7,7,7,7,95,2,77,2,110,2,94,5,,82,2,,59,2,,聪颖,4
徐晃,,,,,,,,,83,2,108,4,76,3,102,3,,79,2,,74,2,,绊索,4
徐盛,,,,,,,,,136,2,97,1,88,4,42,2,,30,2,,34,2,,旋涡,5
姜维,,8,3,8,8,8,8,8,100,2,107,1,106,5,84,3,,74,1,,106,2,,聪颖,5
吕蒙,孙权,7,7,1,7,7,7,7,90,2,91,2,84,5,88,4,,109,3,,77,1,,诈财,7
